# T (K), Mobility (cm^2/V/s)
2.000000000000000000e+02,2.422320426108325933e+02
2.500000000000000000e+02,1.575198498427083962e+02
3.000000000000000000e+02,1.123010187905408372e+02
3.500000000000000000e+02,8.853372991542819648e+01
4.000000000000000000e+02,6.846748932663403764e+01
