# time, p
0.17241379310344485, 0
9.655172413793103, 0.001700680272108901
12.93103448275862, 0.010204081632653184
14.482758620689658, 0.013605442176870763
17.413793103448274, 0.028911564625850428
20.17241379310345, 0.04761904761904756
23.620689655172416, 0.0731292517006803
26.896551724137932, 0.09183673469387765
29.137931034482758, 0.10034013605442182
32.413793103448285, 0.1054421768707483
37.06896551724138, 0.1071428571428572
41.72413793103448, 0.11224489795918369
46.03448275862068, 0.11394557823129259
48.96551724137932, 0.10884353741496611
52.413793103448285, 0.09863945578231303
55.86206896551725, 0.08503401360544227
59.65517241379311, 0.0731292517006803
62.758620689655174, 0.06462585034013602
67.06896551724138, 0.059523809523809645
71.20689655172413, 0.057823129251700744
76.37931034482759, 0.052721088435374264
82.75862068965517, 0.052721088435374264
90.86206896551725, 0.04761904761904756
100, 0.04081632653061229
