# time, p
0, 0.9999999999999999
2.413793103448274, 0.945578231292517
4.827586206896552, 0.8027210884353742
7.241379310344826, 0.6122448979591837
9.655172413793103, 0.4268707482993197
12.24137931034483, 0.2840136054421769
14.827586206896552, 0.19897959183673475
17.068965517241384, 0.1751700680272109
19.655172413793107, 0.17857142857142871
21.896551724137932, 0.18707482993197289
23.79310344827586, 0.18707482993197289
26.55172413793103, 0.17006802721088443
28.965517241379306, 0.1445578231292517
31.551724137931036, 0.11734693877551039
34.310344827586206, 0.09693877551020413
36.72413793103449, 0.09013605442176875
38.9655172413793, 0.09013605442176875
41.72413793103448, 0.09183673469387765
44.310344827586206, 0.09183673469387765
47.413793103448285, 0.08503401360544227
50, 0.0765306122448981
53.103448275862064, 0.0714285714285714
57.58620689655173, 0.06462585034013602
61.72413793103449, 0.061224489795918435
66.20689655172414, 0.057823129251700744
71.20689655172413, 0.056122448979591844
75.51724137931035, 0.052721088435374264
79.82758620689657, 0.052721088435374264
89.82758620689656, 0.04931972789115646
96.72413793103448, 0.04421768707482998
100, 0.04081632653061229
