# time, p
0.17605633802816922, 0
5.809859154929576, 0.005244755244755206
9.683098591549294, 0.02447552447552459
14.26056338028169, 0.07692307692307698
19.718309859154928, 0.13636363636363635
22.007042253521124, 0.15209790209790208
26.786107933557346, 0.1574853868635594
30.807997307023186, 0.1574853868635594
33.28524800807098, 0.16095822536177862
34.39272479206882, 0.16443106385999784
35.92279140153952, 0.16877211198277187
37.321709444484156, 0.17137674085643628
38.76434367627082, 0.1739813697301007
40.512991229951616, 0.1748495793546555
41.32902675500265, 0.17513898256284044
43.66055682657706, 0.17181084566871363
44.79717773646957, 0.16790390235821706
45.93379864636209, 0.1639969590477205
47.72616238888491, 0.15574896761444978
52.14149746192893, 0.13317551737602495
58.26176389981172, 0.10539280939027129
67.67531656379334, 0.07529487573903804
85.58438192607419, 0.05330023191698319
99.99999999999999, 0.04020979020979021

