# T (K), Mobility (cm^2/V/s)
2.000000000000000000e+02,6.507509654112681119e+01
2.500000000000000000e+02,5.959420076624125073e+01
3.000000000000000000e+02,4.641767425223467569e+01
3.500000000000000000e+02,3.312601810944511271e+01
4.000000000000000000e+02,3.504866291325691918e+01
